id,title,authors,year,journal,pmid,doi,abstract
SYN-001,[SYNTHETIC] Delayed sleep onset after 3pm caffeine capsules in healthy adults: a 14-night lab experiment,"Fictional, Ada; Madeup, Lin",2024,Journal of Imaginary Sleep Research,,10.0000/synthetic.screened.001,"SYNTHETIC RECORD — not a real study. Forty-eight healthy adult volunteers (ages 22–45) were randomised to 200 mg caffeine capsules or placebo at 15:00. Polysomnography and sleep diaries measured sleep latency and total sleep time. The caffeine arm showed longer sleep latency the same night. No clinical recommendations are made. All names, numbers, and findings are invented for software demonstration. Invented DOI 10.0000/synthetic.screened.001 (not a real registrant)."
SYN-002,[SYNTHETIC] Interior lighting palettes of independent coffee shops: a narrative design review,"Mock, Jules",2023,Fictional Interiors Quarterly,,,"SYNTHETIC RECORD — not a real study. This narrative review catalogues pendant lamps and wood finishes in twenty imagined cafés. No human participants, no caffeine dosing, and no sleep outcomes are reported. Included to test off-topic exclusion."
SYN-003,[SYNTHETIC] Caffeine injection and EEG sleep architecture in laboratory mice,"Placeholder, Kai; Demo, Noor",2022,Made-up Comparative Neurophysiology,,,SYNTHETIC RECORD — not a real study. Adult C57BL/6 mice received intraperitoneal caffeine or saline. EEG/EMG quantified NREM and REM time. Animal model only; no human data. Included to test the non-human exclusion rule.
SYN-004,[SYNTHETIC] Protocol: afternoon espresso versus decaf on overnight PSG in nurses — a planned RCT,"Sample, Rio; Fake, Samira",2025,Imaginary Trials Register,,,"SYNTHETIC RECORD — not a real study. This is a protocol for a trial that has not enrolled anyone. Planned n=80 hospital nurses, espresso vs decaf at 16:00, overnight PSG primary endpoint. No results. Included to test protocol-without-results exclusion."
SYN-005,[SYNTHETIC] Caffeine gum versus placebo: next-morning sleep diary and PVT in twelve night-shift nurses,"Toydata, Elise; Fabricated, Omar",2021,Pretend Occupational Sleep Letters,,,"SYNTHETIC RECORD — not a real study. Twelve night-shift nurses chewed 100 mg caffeine gum or placebo at 01:00. A sleep diary and a 5-minute psychomotor vigilance test were collected after the subsequent daytime sleep opportunity. Tiny n, primary human data, sleep outcome present. Included to test include-vs-maybe on small samples (criteria do not exclude on sample size)."
SYN-006,[SYNTHETIC] Delayed sleep onset after 3pm caffeine capsules in healthy adults: a 14-night laboratory experiment,"Madeup, Lin; Fictional, Ada",2024,Journal of Imaginary Sleep Research,,10.0000/synthetic.screened.001,"SYNTHETIC RECORD — not a real study. DUPLICATE of SYN-001 for software dedup testing (same invented DOI 10.0000/synthetic.screened.001; title says laboratory instead of lab). Forty-eight healthy adult volunteers, 200 mg caffeine vs placebo at 15:00, PSG and diaries. Not a second experiment."
SYN-007,[SYNTHETIC] Afternoon filter coffee and overnight actigraphy in office workers: a 10-day crossover,"Dummy, Pia; Invented, Sol",2020,Fabricated Chronobiology Notes,,10.0000/synthetic.screened.007,"SYNTHETIC RECORD — not a real study. Thirty-six imagined office workers completed a 10-day crossover of two cups of filter coffee versus decaf at 15:00. Wrist actigraphy measured sleep efficiency and total sleep time. Primary human data, caffeine exposure, sleep outcome. Invented DOI 10.0000/synthetic.screened.007."
SYN-008,[SYNTHETIC] Caffeine and sleep in adults: a field study,"Blankabstract, Nia",2019,Pretend Field Methods,,,
SYN-009,[SYNTHETIC] Energy drinks at lunch and self-reported bedtime in high-school students,"Ambiguous, Tess; Edgecase, Bo",2023,Hypothetical Adolescent Health Letters,,,"SYNTHETIC RECORD — not a real study. A questionnaire of 90 imagined 15–17 year olds asked whether they drank a branded energy drink at lunch and what time they “usually went to bed”. No PSG, actigraphy, or sleep diary instrument. Caffeine dose not measured. Age and outcome are deliberately borderline against typical adult + sleep-outcome criteria. Included to provoke screener A/B disagreement. No patient data."
SYN-010,[SYNTHETIC] Matcha service and evening restfulness among café staff: a one-week mood survey,"Greyarea, Will",2022,Made-up Occupational Mood Digest,,,"SYNTHETIC RECORD — not a real study. Eight imagined baristas rated “restfulness” on a smiley scale after drinking house matcha. Caffeine content was not measured. No sleep latency, duration, efficiency, PSG, actigraphy, or diary. Included to provoke screener A/B disagreement (tea/caffeine-ish vs no sleep outcome)."
SYN-011,[SYNTHETIC] Caffeine superfusion and firing rates in guinea-pig hippocampal slices,"Vitro, Cam; Slice, Ren",2018,Imaginary Cellular Neuro Notes,,,"SYNTHETIC RECORD — not a real study. In vitro electrophysiology on guinea-pig hippocampal slices. Caffeine was washed over the bath; firing rates were recorded. No behaving animals, no humans, no sleep. Included to test the in-vitro / non-human exclusion."
SYN-012,[SYNTHETIC] Afternoon filter coffee and overnight actigraphy in office workers: a 10-day crossover.,"Invented, Sol; Dummy, Pia",2020,Fabricated Chronobiology Notes,,,SYNTHETIC RECORD — not a real study. DUPLICATE of SYN-007 for title-normalization testing (trailing period; no DOI on this copy). Same invented 10-day coffee vs decaf actigraphy crossover. Not a second experiment.
